SKU,Description,Length_in,Width_in,Height_in,Weight_lbs,Eaches,Weekly_Picks,Tray_Config,Pick_Priority
SM-00337,Threaded Rod,16.24,6.19,4.01,4.08,4,0,2,1152
SM-01263,Wave Spring,4.36,4.22,0.52,3.33,8,0,2,1240
SM-00971,DIN Rail Mount,16.2,6.0,1.51,2.53,15,4,2,313
SM-01706,Handle,8.02,4.82,4.34,3.19,13,3,2,481
SM-03032,Flat Washer,14.36,11.99,0.63,6.79,3,1,1,385
SM-02469,Cap Screw,2.03,9.73,2.13,0.85,18,4,3,236
SM-02795,Lip Seal,17.65,8.36,4.58,7.12,1,3,2,538
SM-00392,Cord Grip,12.11,2.22,4.2,0.13,9,14,3,8
SM-00642,Lock Washer,15.68,4.24,2.85,4.1,7,3,2,411
SM-02118,Straight Fitting,7.21,4.62,4.29,3.39,22,2,2,654
SM-00357,Sealed Bearing,0.88,3.01,3.73,0.98,21,1,4,295
SM-01697,Shim Pack,6.98,8.67,4.33,0.77,8,3,2,480
SM-03398,Lip Seal,9.88,11.74,2.5,5.28,21,1,1,400
SM-00979,Pressure Switch,14.0,2.21,4.75,4.79,3,3,3,300
SM-02031,Limit Switch,10.29,10.73,3.4,5.62,3,10,1,16
SM-02695,Air Filter,6.44,1.06,3.76,3.96,9,1,4,413
SM-00645,Fuse 10A,10.87,11.72,2.7,5.31,6,3,1,132
SM-02340,Grease Fitting,7.96,2.58,1.57,0.15,30,1,3,669
SM-00232,Cap Screw,8.41,9.25,3.68,2.13,6,1,2,731
SM-02391,Pillow Block,3.22,5.41,0.61,3.47,19,0,3,888
SM-00882,Needle Valve,7.42,2.24,1.86,6.44,4,0,3,818
SM-01180,Gasket,7.25,5.12,1.73,6.53,16,10,2,49
SM-03119,Lubrication Nipple,6.28,5.25,2.12,7.87,41,8,2,109
SM-00432,Toggle Switch,11.67,7.6,1.02,1.02,31,9,2,56
SM-01737,Proximity Sensor,15.24,3.64,2.89,7.91,4,3,3,333
SM-01043,Hinge,7.61,11.57,3.66,6.6,3,4,2,315
SM-01030,Lock Nut,7.99,3.22,2.28,5.62,14,1,3,566
SM-00672,Bumper,9.65,9.94,1.54,4.55,7,2,1,196
SM-02604,Relay 120V,4.4,10.33,1.27,0.27,24,3,2,530
SM-01889,V-Belt,14.31,11.19,1.67,5.61,20,1,1,331
SM-00845,Connecting Link,17.41,8.35,4.69,4.85,3,4,2,311
SM-00277,Lip Seal,10.85,1.23,0.89,4.92,9,7,4,48
SM-00450,Stud Bolt,15.1,5.55,3.49,1.76,6,1,2,762
SM-02712,Photoelectric Sensor,16.77,6.94,2.13,0.29,8,3,2,536
SM-02505,Hinge,14.3,1.5,3.51,1.62,3,0,4,545
SM-01711,Overload Relay,17.05,7.01,1.23,7.86,22,3,2,482
SM-02584,O-Ring,7.96,1.94,2.95,3.23,15,3,3,364
SM-03113,Rivet,4.28,11.49,3.02,0.67,3,3,2,562
SM-02671,Blind Rivet,12.56,9.52,0.68,6.87,37,1,1,365
SM-03144,E-Clip,13.22,3.18,0.97,4.27,9,5,3,201
SM-01602,Cable Gland,12.09,10.57,3.59,1.09,2,0,1,447
SM-01707,Gear,11.0,1.17,4.72,1.73,2,0,4,515
SM-00426,Hinge,9.16,2.86,2.08,3.73,12,1,3,522
SM-00268,Die Spring,16.91,4.17,2.6,2.0,13,0,2,1145
SM-02824,Barb Fitting,15.62,7.2,3.28,4.67,1,1,2,1045
SM-02706,Quick Coupler,9.25,10.81,3.81,5.55,9,14,1,2
SM-02197,Snap Ring,1.17,2.53,3.5,3.49,19,10,4,20
SM-02867,Cotter Pin,12.56,10.33,3.89,0.77,6,13,1,9
SM-01108,Fuse 30A,8.8,8.77,2.79,1.7,14,1,2,833
SM-00618,Ball Bearing,0.61,2.26,2.05,1.25,9,2,4,232
SM-03227,Flanged Bearing,5.8,3.58,2.43,3.94,2,8,3,75
SM-01002,Overload Relay,4.1,1.72,3.27,6.66,1,1,3,563
SM-02287,Compression Spring,16.44,11.09,1.36,0.64,7,0,1,478
SM-01012,Cord Grip,6.48,10.68,3.16,6.02,5,3,2,437
SM-03090,Vibration Mount,7.59,7.45,4.03,6.91,6,8,2,108
SM-01371,Contactor,17.65,9.31,4.6,7.61,2,5,1,72
SM-00526,Ball Bearing,2.02,11.36,3.32,5.78,9,15,3,1
SM-00010,Master Link,2.49,9.99,2.95,7.53,8,0,3,763
SM-03287,Contactor,0.57,1.56,2.68,1.19,16,1,4,441
SM-01665,Overload Relay,13.0,7.69,0.61,6.22,11,3,2,477
SM-02565,Compression Spring,11.49,4.83,3.37,5.35,6,4,2,351
SM-02358,Pneumatic Actuator,7.26,8.44,2.92,6.28,10,1,2,999
SM-02964,Oil Seal,7.26,0.69,1.97,3.27,2,1,4,429
SM-02158,Vibration Mount,17.71,7.19,2.79,7.45,6,1,2,975
SM-02134,Rocker Switch,12.96,9.33,0.66,5.91,40,0,1,472
SM-00858,Dowel Pin,7.74,1.67,1.52,4.01,14,8,3,56
SM-02202,Shim Pack,3.19,5.32,3.42,4.65,16,0,3,880
SM-01116,Shim Pack,17.7,5.09,3.57,1.61,10,0,2,1224
SM-02353,V-Belt,3.09,4.67,2.53,1.34,2,7,3,104
SM-00948,Fender Washer,12.73,8.43,2.84,0.92,9,3,2,435
SM-01398,Temp Sensor,17.31,6.7,1.19,7.68,24,3,2,460
SM-01092,Connecting Link,0.63,11.43,2.13,7.67,5,3,4,160
SM-00012,Retaining Ring,9.11,4.17,4.46,1.88,9,7,2,114
SM-01165,Photoelectric Sensor,1.86,2.65,0.69,6.2,19,1,3,586
SM-03193,Hex Nut,2.48,6.37,1.4,5.64,34,10,3,39
SM-02332,Pin Terminal,11.43,7.25,4.3,2.32,4,10,2,54
SM-03172,Vibration Mount,4.08,6.02,4.41,2.93,23,3,2,566
SM-03045,Spacer,0.9,7.73,0.6,1.0,21,0,4,570
SM-02154,Fuse 15A,13.26,6.88,4.7,0.84,1,5,2,241
SM-01585,Wire Connector,4.34,3.98,4.05,5.74,6,3,2,473
SM-01448,Retaining Ring,12.19,2.44,2.67,5.38,12,1,3,606
SM-00319,Timing Belt,14.67,6.44,1.85,6.94,8,3,2,390
SM-03390,Flat Washer,10.28,1.27,4.69,0.62,1,1,4,448
SM-01178,Chain Link,12.4,2.03,2.12,0.48,11,0,3,835
SM-00146,Cotter Pin,2.51,4.86,3.97,4.3,18,0,3,771
SM-01420,Breather Cap,15.79,8.85,0.99,3.27,40,1,1,308
SM-02510,Fuse 10A,6.31,10.64,3.09,2.24,7,0,2,1349
SM-00397,Flange Nut,3.94,10.83,4.79,5.35,11,2,2,596
SM-01463,Quick Coupler,16.66,7.67,1.54,6.94,8,0,2,1254
SM-01579,Latch,0.78,2.09,2.52,3.31,9,0,4,509
SM-03095,Set Screw,3.32,5.03,0.94,7.57,6,1,3,731
SM-02896,Oil Cup,8.65,4.87,1.36,5.36,44,3,2,546
SM-00202,Flat Washer,10.84,1.85,2.92,2.48,1,1,3,511
SM-01102,Retaining Ring,17.94,4.12,1.12,2.59,32,12,2,31
SM-00438,Hydraulic Filter,13.54,2.3,4.81,1.95,1,0,3,788
SM-00030,Cable Gland,16.51,7.7,3.08,5.32,2,1,2,702
SM-02231,Hinge,16.42,10.78,3.38,0.29,1,2,1,220
SM-01569,Cotter Pin,12.0,10.76,4.28,3.95,5,2,1,210
SM-00155,Needle Valve,6.11,9.63,4.39,3.46,10,0,2,1132
SM-01291,Lip Seal,12.86,4.52,2.21,1.16,22,5,2,219
SM-00446,Rivet,2.73,1.54,4.07,0.02,1,0,4,472
SM-02853,Fuse 5A,2.11,0.86,2.84,6.68,27,5,4,111
SM-01172,Thrust Bearing,5.91,1.39,0.79,5.11,37,0,4,494
SM-02048,Relay 24V,16.46,10.0,2.58,3.68,1,0,1,469
SM-00639,Rocker Switch,1.84,7.82,3.79,6.91,17,5,3,157
SM-02266,Anchor Bolt,16.55,9.28,1.66,6.45,23,8,1,30
SM-02069,Shaft Seal,2.38,7.96,0.8,0.42,4,3,3,341
SM-00282,Butt Splice,6.75,1.54,1.15,6.44,19,3,4,148
SM-01975,Fuse 10A,16.54,11.3,0.7,3.96,19,2,1,217
SM-01609,Air Cylinder,7.6,8.18,4.02,1.3,2,4,2,329
SM-01832,Fuse 10A,9.61,7.21,2.93,2.07,13,4,2,335
SM-00477,Ball Bearing,2.62,7.27,4.89,2.2,10,3,3,280
SM-00704,Push-to-Connect Fitting,8.76,9.57,0.96,4.5,12,0,2,1187
SM-00951,Proximity Sensor,11.09,8.65,0.88,4.91,21,0,2,1208
SM-02105,Roller Bearing,8.52,1.08,2.65,1.82,4,2,4,257
SM-01482,Belt,9.41,5.26,3.16,3.17,20,0,2,1256
SM-00093,Coupling Insert,11.62,2.29,3.23,1.48,3,8,3,51
SM-03369,Wing Nut,11.81,3.58,4.92,4.13,4,0,3,939
SM-01789,Pilot Light,7.63,4.1,3.46,3.96,17,5,2,234
SM-01980,Master Link,1.1,8.44,4.15,1.47,5,15,4,5
SM-02666,Flat Washer,13.97,1.97,2.38,7.39,9,1,3,696
SM-00647,Fuse 5A,2.84,1.41,1.44,6.56,30,1,4,307
SM-02969,Tee Fitting,2.31,1.11,3.36,3.51,25,3,4,203
SM-01838,Torsion Spring,0.53,8.04,4.84,4.72,7,3,4,176
SM-02501,Torsion Spring,13.62,3.98,1.32,7.79,26,3,2,524
SM-01042,DIN Rail Mount,2.94,8.66,3.83,0.96,5,3,3,303
SM-01952,Extension Spring,14.67,8.53,3.47,3.42,7,0,2,1298
SM-02491,Sprocket,11.93,6.3,3.52,4.02,10,7,2,136
SM-00001,Shaft Seal,3.42,2.8,2.32,1.99,6,5,3,140
SM-01683,Thrust Bearing,5.19,5.06,2.88,1.03,28,1,2,902
SM-02068,Cap Screw,14.03,5.27,1.78,3.34,20,1,2,964
SM-00781,Lubrication Nipple,16.56,10.14,3.51,2.77,9,4,1,106
SM-01432,Coupling Insert,4.58,5.48,4.89,1.49,21,4,2,323
SM-03159,Contactor,8.54,9.39,4.39,7.6,2,1,2,1079
SM-02784,Temp Sensor,5.04,1.56,1.6,1.08,2,1,4,417
SM-01930,Timing Belt,2.5,0.54,0.55,6.77,12,1,4,372
SM-00344,E-Clip,5.68,2.68,3.77,2.56,9,1,3,518
SM-02579,Connecting Link,2.77,11.85,3.39,1.34,6,0,3,892
SM-01349,Oil Seal,7.42,2.02,1.01,7.46,47,1,3,600
SM-01359,Chain Link,12.78,5.33,0.93,5.53,41,0,2,1248
SM-03203,Pilot Light,12.06,1.91,1.93,5.01,7,0,3,930
SM-01577,Signal Lamp,9.16,4.75,1.4,4.06,24,5,2,229
SM-00982,Retaining Ring,17.37,9.42,2.98,5.41,5,2,1,200
SM-02493,Roll Pin,12.57,1.01,0.55,7.44,20,1,4,406
SM-00545,Lock Washer,13.7,11.21,3.17,1.26,5,3,1,130
SM-01648,Hex Bolt,0.46,8.06,2.03,0.74,9,0,4,511
SM-01357,V-Belt,16.05,6.48,3.99,2.04,6,3,2,458
SM-01664,Die Spring,3.96,11.17,3.28,6.84,18,1,2,900
SM-00680,Pressure Switch,2.18,10.44,3.05,1.07,7,3,3,289
SM-03061,Relay 12V,5.75,11.08,3.35,1.23,8,1,2,1070
SM-01283,Breather Cap,14.87,5.7,4.27,0.06,7,0,2,1241
SM-00370,Wire Connector,11.87,8.69,1.69,6.03,16,3,2,394
SM-01626,Ball Bearing,4.06,2.45,2.27,5.22,42,1,3,618
SM-03462,Handle,11.15,9.62,3.97,2.75,2,14,1,3
SM-00374,Bumper,15.64,7.19,4.22,2.76,2,3,2,395
SM-01504,Push-to-Connect Fitting,1.25,8.37,3.19,1.67,2,3,4,172
SM-02428,Terminal Block,13.0,5.09,4.39,3.59,2,4,2,348
SM-00101,Fuse 10A,5.18,5.83,1.2,6.72,41,3,2,375
SM-00056,Flanged Bearing,1.24,2.78,2.89,7.67,12,0,4,458
SM-03417,Signal Lamp,8.7,10.42,3.49,4.36,3,3,2,580
SM-02349,Piston Seal,0.97,6.03,4.91,4.58,1,1,4,396
SM-01222,Proximity Sensor,12.75,9.86,4.37,3.29,7,3,1,145
SM-02059,Anchor Bolt,14.72,5.15,2.14,1.76,10,1,2,958
SM-01028,Circuit Breaker,17.92,7.75,0.9,5.69,21,0,2,1218
SM-02078,Pulley,6.49,9.37,0.66,7.21,32,0,2,1308
SM-03130,Filter Cartridge,6.23,9.39,1.11,5.72,4,8,2,110
SM-01920,Wiper Seal,4.96,9.06,4.09,0.04,2,1,2,937
SM-03137,Torsion Spring,8.8,9.06,2.96,4.29,7,0,2,1404
SM-02637,Wing Nut,6.16,5.53,1.66,5.37,30,0,2,1361
SM-01746,Pulley,10.3,7.36,3.81,3.22,5,0,2,1280
SM-00252,Timing Belt,12.26,6.79,4.95,2.05,4,7,2,117
SM-02652,Shim Pack,12.41,5.4,0.69,3.6,12,3,2,532
SM-03406,Dowel Pin,6.87,5.77,3.7,1.27,19,5,2,291
SM-02836,Circuit Breaker,10.85,8.24,4.59,6.42,6,3,2,540
SM-00687,Push Button,12.47,9.12,0.96,1.71,18,1,1,270
SM-01124,Thrust Bearing,10.2,1.93,4.5,7.26,8,7,3,88
SM-01710,Rocker Switch,13.45,0.64,2.74,1.92,6,1,4,358
SM-02515,Proximity Sensor,16.46,1.33,4.57,4.31,2,1,4,410
SM-00683,Clamp,13.75,10.81,3.76,0.61,3,1,1,269
SM-02208,Roll Pin,5.34,4.41,1.65,5.08,31,1,2,981
SM-00013,Relay 24V,5.36,1.33,1.34,4.69,2,1,4,279
SM-00166,Lubrication Nipple,9.1,10.51,1.41,1.24,11,4,1,102
SM-00362,Oil Filter,2.42,7.32,3.78,5.21,14,9,3,43
SM-02334,Relay 12V,3.67,9.51,3.37,6.61,6,7,3,103
SM-00321,Machine Screw,17.81,6.03,2.13,4.19,5,15,2,1
SM-01565,LED Indicator,9.23,6.02,2.28,4.88,1,0,2,1260
SM-02531,Anchor Bolt,13.02,3.98,1.34,4.69,47,2,2,669
SM-02392,Threaded Rod,7.75,7.43,4.27,1.26,9,8,2,97
SM-00664,Proximity Sensor,13.59,3.87,2.46,2.43,2,2,3,423
SM-01985,Vibration Mount,16.28,9.92,3.37,4.11,4,1,1,335
SM-02019,Circuit Breaker,16.55,1.55,4.56,0.89,1,0,4,531
SM-01627,Proximity Sensor,5.91,9.67,3.18,2.97,8,1,2,896
SM-00711,Roller Bearing,13.99,9.91,3.83,2.22,10,1,1,273
SM-02764,Clamp,16.11,1.79,1.1,4.44,32,10,3,37
SM-00701,Sealed Bearing,9.79,3.23,4.08,4.55,1,6,3,115
SM-00763,Cord Grip,2.5,7.29,1.91,1.98,21,1,3,543
SM-01932,Shaft Seal,15.4,5.0,2.48,3.3,12,3,2,493
SM-03253,Photoelectric Sensor,3.27,10.76,3.21,7.72,5,7,3,110
SM-02259,V-Ring Seal,9.29,6.87,2.35,0.78,8,0,2,1327
SM-00800,Relay 24V,17.16,8.61,2.24,3.4,3,1,2,795
SM-02822,Fender Washer,10.81,10.23,4.18,4.58,1,1,1,374
SM-01208,Latch,12.49,5.03,4.96,3.24,2,0,2,1233
SM-01783,Anchor Bolt,6.82,10.58,3.05,0.1,6,0,2,1285
SM-00669,Fuse 15A,10.11,8.6,0.59,3.29,17,1,2,785
SM-01424,Level Switch,9.98,9.61,3.33,0.59,10,8,1,28
SM-01084,Torsion Spring,7.88,10.18,1.11,2.69,20,0,2,1223
SM-00602,Oil Seal,13.92,2.95,4.95,7.41,1,0,3,798
SM-00413,Flow Control,0.46,10.1,3.99,6.88,4,0,4,471
SM-00576,Blind Rivet,1.83,1.31,3.96,3.09,9,15,4,1
SM-02196,Push-to-Connect Fitting,12.01,2.42,4.88,6.99,1,5,3,184
SM-00818,Strainer Element,17.11,2.27,4.28,2.19,6,1,3,550
SM-01464,Wiper Seal,6.53,7.64,0.65,1.17,44,8,2,83
SM-01906,Level Switch,14.77,3.41,4.37,4.28,1,0,3,865
SM-02214,V-Ring Seal,13.7,6.4,2.04,6.22,4,5,2,244
SM-01974,Hex Nut,1.92,0.6,2.29,5.24,10,0,4,527
SM-01580,Quick Coupler,9.64,3.99,3.72,1.19,16,0,2,1261
SM-00267,Wiper Seal,8.66,10.36,2.09,5.24,6,1,2,735
SM-02745,Ring Terminal,17.96,9.44,0.96,4.1,17,1,1,369
SM-00090,Air Cylinder,1.49,9.83,1.07,2.85,5,7,4,46
SM-02960,Cap Screw,14.65,1.03,2.65,5.97,2,5,4,113
SM-02067,Sealed Bearing,5.7,10.08,3.93,0.09,11,1,2,963
SM-00201,Anchor Bolt,11.97,1.89,1.03,1.25,19,4,3,210
SM-01888,Cap Screw,2.08,10.84,1.64,5.43,11,6,3,128
SM-00193,Fuse 10A,11.02,8.37,3.13,0.29,1,1,2,724
SM-00744,Spade Terminal,15.24,5.83,1.3,7.38,11,0,2,1193
SM-01231,Wing Nut,9.4,11.97,2.99,3.85,4,2,1,204
SM-01428,Relay 24V,6.24,3.98,3.6,5.69,11,1,2,870
SM-00222,Pillow Block,10.02,9.29,4.68,5.82,13,0,1,408
SM-03060,Needle Valve,15.5,3.7,1.34,4.85,4,1,3,728
SM-01251,Tee Fitting,16.02,9.11,3.43,5.61,9,3,1,147
SM-02250,O-Ring,13.01,9.56,1.69,7.79,19,3,1,162
SM-00966,Set Screw,1.58,6.37,1.47,1.85,3,5,4,84
SM-00393,Tee Fitting,5.63,8.88,4.06,2.14,3,1,2,753
SM-02478,Toggle Switch,16.33,10.72,2.06,6.16,7,1,1,351
SM-00998,Threaded Rod,14.23,1.92,2.57,2.79,12,5,3,159
SM-03243,Torsion Spring,11.39,11.0,2.47,4.35,6,3,1,181
SM-01085,Temp Sensor,8.41,5.79,4.36,0.54,8,3,2,442
SM-02396,Pulley,4.98,6.62,3.94,5.31,12,7,2,133
SM-02739,Spacer,5.15,5.04,0.82,6.36,33,5,2,269
SM-02598,Connecting Link,8.15,7.67,1.91,2.22,5,5,2,265
SM-02326,Set Screw,10.47,8.08,2.92,6.96,12,1,2,996
SM-02161,Spacer,12.66,5.16,2.48,0.09,5,3,2,502
SM-03101,Elbow Fitting,13.64,0.58,1.48,5.18,15,0,4,575
SM-01611,Fuse 30A,15.85,9.72,3.12,3.31,6,0,1,448
SM-00454,Anchor Bolt,14.7,4.56,2.43,1.81,1,1,2,763
SM-01600,E-Clip,0.81,3.97,1.83,6.3,33,5,4,93
SM-02790,Butt Splice,17.68,10.11,1.75,7.39,1,0,1,499
SM-02933,Handle,3.44,5.08,4.04,1.1,2,0,3,916
SM-00434,Flow Control,9.04,7.84,4.61,5.22,5,4,2,298
SM-00611,V-Belt,17.46,7.4,4.22,1.96,4,3,2,409
SM-02935,Level Switch,8.63,3.74,2.27,5.05,9,0,3,917
SM-01152,Air Filter,9.07,10.47,1.39,3.9,10,2,1,203
SM-02230,Needle Bearing,10.57,11.89,2.29,3.66,3,1,1,345
SM-00801,Fuse 30A,13.73,5.9,2.52,1.94,5,3,2,423
SM-00840,Push Button,12.19,10.8,4.76,1.05,3,0,1,427
SM-03028,Terminal Block,1.89,4.5,3.15,6.48,10,1,3,724
SM-01007,Lip Seal,17.87,1.2,3.26,0.99,1,3,4,158
SM-00665,Shim Pack,8.34,2.97,2.14,3.25,14,1,3,536
SM-00465,Retaining Ring,1.55,2.13,1.21,1.53,45,7,4,51
SM-00291,Terminal Block,8.04,6.93,3.05,0.06,3,5,2,188
SM-03463,Gas Spring,16.28,8.1,1.66,2.25,15,1,2,1109
SM-03338,Thrust Bearing,12.01,1.73,1.57,7.18,22,5,3,203
SM-00616,Wiper Seal,8.51,4.63,3.53,7.75,5,1,2,779
SM-02875,Set Screw,12.82,0.61,4.93,1.56,3,1,4,423
SM-02184,Connecting Link,4.22,6.41,2.29,3.57,13,3,2,504
SM-02664,Sprocket,6.44,5.31,4.78,3.46,10,1,2,1033
SM-00449,Level Switch,1.44,6.93,2.69,5.95,3,3,4,153
SM-01153,Lock Nut,6.41,7.75,4.56,6.68,2,3,2,444
SM-02881,Relay 12V,8.87,6.87,2.39,4.24,16,0,2,1383
SM-02608,Butt Splice,1.08,6.01,3.5,4.11,6,5,4,107
SM-03223,Check Valve,12.3,8.92,2.52,3.77,15,1,1,395
SM-01192,Filter Cartridge,8.96,1.9,3.64,0.49,13,4,3,222
SM-00877,Grease Fitting,3.74,10.75,1.84,0.82,11,1,3,554
SM-02461,Clamp,9.17,8.51,1.31,4.53,13,1,2,1010
SM-01951,Circuit Breaker,7.58,4.24,1.01,2.28,48,0,2,1297
SM-03151,Bumper,2.43,6.9,3.9,7.1,1,0,3,926
SM-03142,Flange Nut,8.39,0.61,4.92,2.8,4,3,4,215
SM-02609,Timing Belt,12.18,0.75,3.53,1.76,8,0,4,550
SM-00943,Belt,3.29,4.78,3.79,3.65,12,1,3,559
SM-00433,Sealed Bearing,5.5,9.28,4.19,7.98,7,3,2,398
SM-01345,Gas Spring,15.19,8.56,4.97,2.68,1,1,2,863
SM-02121,Vibration Mount,17.46,4.97,2.99,3.8,3,1,2,971
SM-00879,Fuse 5A,11.18,6.91,4.07,7.96,8,5,2,207
SM-03297,Rivet,6.41,11.72,0.79,5.95,43,1,2,1094
SM-01351,Timing Belt,0.97,1.84,2.86,5.55,10,5,4,89
SM-00125,Push Button,16.68,3.34,3.1,0.51,3,5,3,146
SM-01724,Fuse 15A,13.51,8.79,4.07,5.2,3,14,2,12
SM-01591,Ring Terminal,12.93,3.16,4.92,0.12,3,3,3,329
SM-00644,Cable Gland,15.73,5.67,3.34,5.18,2,2,2,602
SM-03070,Sprocket,1.35,10.07,1.44,4.66,12,1,4,432
SM-02560,Hex Nut,9.36,9.6,3.64,1.54,10,0,1,486
SM-01318,Shaft Seal,10.13,11.97,3.2,6.33,9,0,1,438
SM-02204,V-Ring Seal,9.36,5.35,2.01,1.59,31,2,2,658
SM-02751,Relay 12V,7.68,7.99,2.86,2.26,15,0,2,1373
SM-01097,Machine Screw,0.49,9.17,4.59,6.73,9,0,4,492
SM-00385,Chain Link,0.61,2.43,3.56,7.52,31,1,4,297
SM-03455,E-Clip,13.25,10.83,4.57,0.79,8,3,1,184
SM-03477,V-Ring Seal,7.18,8.41,2.05,0.58,18,0,2,1429
SM-00363,Overload Relay,0.57,9.13,1.02,5.58,26,0,4,468
SM-03441,Ball Valve,16.25,3.17,0.97,5.88,6,2,3,482
SM-02389,Cable Gland,9.65,3.72,0.62,4.71,24,5,3,188
SM-01240,Gasket,8.69,9.25,4.9,6.55,2,1,2,849
SM-02177,Extension Spring,11.13,10.08,0.78,1.43,16,0,1,473
SM-02195,V-Belt,12.45,8.76,0.82,2.16,8,1,2,979
SM-00935,Push Button,8.01,6.39,2.28,6.83,13,5,2,211
SM-01748,Air Filter,3.79,4.12,3.86,0.47,3,1,3,628
SM-01196,Oil Seal,13.1,3.64,3.73,1.9,2,7,3,90
SM-00835,Shim Pack,2.91,2.95,3.54,3.05,24,0,3,815
SM-02111,Piston Seal,15.4,10.82,3.52,1.37,9,1,1,339
SM-02923,Pin Terminal,2.57,7.25,4.87,6.95,6,2,3,466
SM-02885,Handle,5.69,7.49,2.3,7.28,30,2,2,678
SM-03079,Pulley,15.78,3.69,3.44,7.62,5,1,3,730
SM-03388,Pressure Switch,8.41,2.34,4.83,4.38,11,0,3,940
SM-01244,Cap Screw,13.69,9.75,3.23,6.7,3,3,1,146
SM-02780,Anchor Bolt,11.36,4.05,1.79,1.35,6,1,2,1041
SM-01912,Pneumatic Actuator,10.98,3.43,4.66,1.59,1,0,3,867
SM-00522,Toggle Switch,17.63,9.34,2.02,5.37,12,1,1,259
SM-00307,Fuse 30A,9.78,11.18,4.53,6.9,12,0,1,412
SM-03423,Needle Valve,4.78,2.96,3.03,2.13,24,1,3,754
SM-00253,Cap Screw,1.11,8.99,4.11,2.19,4,4,4,116
SM-00779,Extension Spring,9.79,11.06,0.52,5.54,25,0,1,421
SM-02254,Wave Spring,16.21,2.2,1.01,1.87,2,6,3,132
SM-00896,Lock Nut,6.1,2.16,1.29,6.73,39,10,3,32
SM-03277,Master Link,9.67,11.12,4.11,3.5,1,5,1,100
SM-01518,Ring Terminal,2.08,8.64,4.48,6.08,4,3,3,327
SM-02950,Oil Cup,10.17,11.46,3.46,1.24,5,1,1,379
SM-02402,Chain Link,13.73,10.09,4.21,1.27,8,1,1,349
SM-01503,Lubrication Nipple,1.2,10.21,3.61,2.74,4,6,4,74
SM-03341,Needle Bearing,2.09,11.25,4.99,0.38,7,1,3,748
SM-00242,Rivet,14.12,9.76,0.64,6.42,34,0,1,409
SM-01878,Overload Relay,9.68,6.35,4.0,4.72,9,3,2,487
SM-03481,Hex Bolt,7.22,0.99,4.96,1.33,1,2,4,277
SM-01033,Anchor Bolt,13.76,5.87,1.08,6.94,6,3,2,439
SM-02775,Relay 12V,15.27,11.45,4.05,4.34,6,0,1,498
SM-02103,Overload Relay,3.27,10.1,0.98,6.33,31,1,3,653
SM-01776,Sprocket,12.04,5.51,1.73,2.04,27,0,2,1283
SM-00973,Oil Filter,13.85,1.89,4.18,2.97,8,2,3,428
SM-00126,Pressure Switch,11.56,2.52,4.13,5.49,6,0,3,769
SM-02431,Vibration Mount,3.79,4.73,3.51,2.5,1,1,3,676
SM-00836,Pin Terminal,15.0,9.56,4.96,1.4,3,0,1,425
SM-02006,Toggle Switch,3.31,4.59,1.71,2.29,30,5,3,181
SM-02066,Hinge,12.94,4.55,4.64,6.81,4,1,2,962
